Account Name,Cancellation Reason,Cancellation Reason Other,Tenure_Months,Last Invoice $
unimotionusa,Using QuickBooks Only (no other app),"we are moving to a QBDT multi-user hosted platform and will not need Method moving forward.

",10.6,110.0
johnbroedersmachinecoltd,Other - please specify,"Erin is nice, but not interested in moving further, asked to cancel the account.
Needs: 1. Sales Orders to sync both ways with QBO, 2. currency on screen isnt accurate, doesnt want help troubleshooting with Support, 3. Want Estimate reports to show how many have been moved to SO vs. ones still on the estimate. Does not want to work with customization and said shes used other programs where customizations just means paying an arm and a leg and not getting exactly what she want at the end.",0.0,109.5
HappyKitchen,Using another CRM Product,Sales force is easier to look at and use not so many places to look at everything all at once.  Layout is way better and method is too hard to fix the layout,1.9,108.0
pureblissorganics,Other - please specify,We really preferred using ACT better. Thank you,5.7,108.0
zahntechnique,Other - please specify,"I would have loved to stay with you if your system was a more plug and play. Having my sales data auto imported from Quickbooks was huge! However, that was the only real advantage that you offered as compared to my existing CRM.",0.3,106.5
isriseatswillwong2,Using another CRM Product,You did not as we are now with Microsoft in all our software,35.9,105.0
purewick,Other - please specify,The company was bought out. The users in the account are no longer with the company and will no longer need Method for the CRM. ,13.0,105.0
creativefloorsvail,Service / Support / Help Center,"wants to cancel the account as she said she had never used method as she couldn't get it to work how she wanted. 
She said she reached out to phuong a long time ago to cancel and she is still getting charged. 
She is extremely upset to know we can not issue a refund due to our policy and she wants to leave terrible reviews about method and phuong online. asked that phuongs supervisor reaches out to her asap.  ",9.6,105.0
selectpoolproducts,Other - please specify,Not exactly what I am looking for as a distribution company. Pricing a little too high for what I need. Thank you. ,1.8,105.0
meridianclosets,Other - please specify,Our company is using a similar service through Office 365.,23.0,105.0
seawayofficepro,"Failure to adopt, train, and engage CRM users",WE are not using it!,6.4,105.0
thegeneratorking,Not using their Method Account,Not required,34.2,105.0
advantechsterilizers3,Difficult UI,"Frustration with clunky UX/UI and lack of core CRM & Accounting features such as refund processing, credit memos, and email tracking. Ongoing issues with incorrect sales tax syncing from QuickBooks, which led to payment/invoice mismatches. Despite a customized workaround implemented by Brandon after coordination with Ashur, the customer was dissatisfied with the need for continuous intervention and the lack of a clear resolution from Method. Customer is not concerned with HubSpots lack of native QuickBooks integration and is open to paying separately or using another tool to fill that gap.",7.8,105.0
northamericansprayfoampolymersllc,Using another CRM Product,It is a hassle to make small changes.  Using Act CRM it is much easier.,14.7,105.0
mccreascandies,Other - please specify,"- main employee who pushed for the CRM has left, new employees are creating their own workflows that do not involve Method - they did not prefer using it
- I offered a free demo to retrain him and his staff on using Method, but he declined - the above reasons and other issues he did not wish to disclose are why he concluded it was not cost efficient to maintain Method subscription.",25.2,104.0
kitotechmedical,,Other,2.0,104.0
paxenterprisesllc,Sold Business / Closing Company,business closed,63.9,104.0
nhvamericainc2,Other - please specify,Corporate office in Japan decided on another option that incorporated a Japanese-based solution.,5.0,104.0
bmls,,Does not Integrate with QuickBooks how we need it to. ,2.3,104.0
ahldistributors,Other - please specify,Method is a great CRM but its a bit too robust for our needs.,1.0,104.0
efficientvelotoolsllc,Tech Issue - Applications & Sync,"the QBDT SDK is no longer actively updated so the sync functionality is  locked  from the QB side. This was related to the title field limitations of 16 char
They had issue with the email campaign app which was running into statistical issues a couple of month back.
They needed shipping notes to sync between Method and QBooks and custom syncs fields are limited in characters (40?)

memo field is usable but not very visible on QBDT

recommended managing shipping from Method",6.9,104.0
wildsam,Other - please specify,Doesn't offer what I need - takes too long ($$$) to customize for my needs. Switching to Salesforce.,7.0,104.0
decksupplywarehouse,Using another CRM Product,Changes to the business not related to software performance,22.1,104.0
rivannamedical,Using another CRM Product,Directive from marketing team,26.8,102.0
darnelfabrics2,Difficult UI,We aren’t using method. We find the functionalities limited unless we pay for customizations. The system lacks many features and isn’t very intuitive or user-friendly.,34.1,102.0
MEDFORDKNIFE,Not using their Method Account,"I does not work for us and never has.  We have ragtagged on with hopes, only to find ourselves right back at the beginning - this is not the right CRM for us.",10.3,102.0
goodlitecompany,Using QuickBooks Only (no other app),Discontinued requirement,8.4,102.0
mojonnierusallc,Not using their Method Account,Don't use,36.0,102.0
zoexcorp,Not using their Method Account,Not using,44.0,101.0
icotecllc3,Difficult Workflows / Workflow Challenges,"I did not realize there is no ordering for self-service and order submission by the customer for my dealers/company customers to automate my system. I have found a better option. Because a customer portal was advertised, I misunderstood.

Thanks",0.7,101.0
kitfabproducts,Subscription price too high,cannot afford at this time.  not enough transactions to cost justify.,2.7,101.0
tecnomaxusa,Not using their Method Account,Not using system,17.0,101.0
newtropincrm,Other - please specify,a,5.1,101.0
exercizeinnovations,Other - please specify,sticking to our current CRM as its easier to use.,0.7,101.0
primapackltd,Not using their Method Account,not being used,24.1,101.0
southwestrollingshutterscompanyinc,Difficult UI,Not enough advertising features.  API's not as user friendly as other systems.,1.7,101.0
southwestheaterandcontrols,Other - please specify,duplicate account,0.0,101.0
pinkpanacheCo1,Not using their Method Account,We are going a different direction.,9.0,101.0
MiiR,,interface is very disappointing and is not worth paying for.,3.2,100.0
fs,,No volume pricing support,4.4,100.0
TheDeliStation1,Non-payment,No response to hold,19.9,100.0
SLRDesigns,,Not using ,9.0,100.0
winship,,Moving to Sales Force ,4.7,100.0
akzan,Tech Issue - Applications & Sync,moving to akzanwholesale,36.5,100.0
ScalesNW,,"Too many process flow issues when working with QB.  Namely, spacing on estimates, calculating cost for line item.",3.5,100.0
CROSSFIRESAFETY,,Company was sold and no longer using this service.,16.1,100.0
CygnusInc,Non-payment,No response to hold,15.0,100.0
cafecamp,Other - please specify,we left quickbooks and the new system had an integrated CRM included for free so we migrated our leads to it.. nothing yall did..,28.0,100.0
zmandirectinc,Difficult Workflows / Workflow Challenges,"Sales reps not using Method, sales reps inputting incorrect info into method that is syncing back w/ qb, difficult to connect with someone at Method",12.7,100.0
generaltrafficcontrols,Not using their Method Account,We don't use the software. ,76.2,100.0
SuplidoraLuma,,"We are not currently using the CRM to its fullest, so we will cancel it for now until we are ready.",2.0,100.0
agrigroinc,,"We found a better, more user friendly system. ",26.2,100.0
choicefloors,,No longer using.,25.0,100.0
tractortoolsdirect,Using another CRM Product,We got Hubspot.,112.0,100.0
superhealthcenter,Using another CRM Product,"You actually didn't let us down at all.   You helped us greatly as our business grew.  We have purchased a full ERP solution, and no longer need Method services.  ",11.8,98.0
